# name|return_type|param_name:type,param_name:type
ASN1_F_LONG_C2I|int|void
ASN1_F_OID_MODULE_INIT|int|void
ASN1_F_PARSE_TAGGING|int|void
ASN1_F_PKCS5_PBE2_SET_IV|int|void
ASN1_F_PKCS5_PBE_SET0_ALGOR|int|void
ASN1_F_PKCS5_PBE_SET|int|void
ASN1_F_PKCS5_PBKDF2_SET|int|void
ASN1_F_SMIME_READ_ASN1|int|void
ASN1_F_SMIME_TEXT|int|void
ASN1_F_X509_CINF_NEW|int|void
ASN1_F_X509_CRL_ADD0_REVOKED|int|void
ASN1_F_X509_INFO_NEW|int|void
ASN1_F_X509_NAME_ENCODE|int|void
ASN1_F_X509_NAME_EX_D2I|int|void
ASN1_F_X509_NAME_EX_NEW|int|void
ASN1_F_X509_NEW|int|void
ASN1_F_X509_PKEY_NEW|int|void
ASN1_GENERALIZEDTIME_adj|int|s:int,t:int,offset_day:int,offset_sec:long
ASN1_GENERALIZEDTIME_check|int|a:int
ASN1_GENERALIZEDTIME_free|void|a:int
ASN1_GENERALIZEDTIME_new|int|void
ASN1_GENERALIZEDTIME_print|int|fp:int,a:int
ASN1_GENERALIZEDTIME_set_string|int|s:int,str:int
ASN1_GENERALIZEDTIME_set|int|s:int,t:int
ASN1_GENERALSTRING_free|void|a:int
ASN1_GENERALSTRING_new|int|void
ASN1_IA5STRING_free|void|a:int
ASN1_IA5STRING_new|int|void
ASN1_INTEGER_cmp|int|x:int,y:int
ASN1_INTEGER_dup|int|x:int
ASN1_INTEGER_free|void|a:int
ASN1_INTEGER_get|long|a:int
ASN1_INTEGER_new|int|void
ASN1_INTEGER_set|int|a:int,v:long
ASN1_INTEGER_to_BN|int|ai:int,bn:int
ASN1_ITEM_st|int|param0:int
ASN1_ITYPE_CHOICE|int|void
ASN1_ITYPE_COMPAT|int|void
ASN1_ITYPE_EXTERN|int|void
ASN1_ITYPE_MSTRING|int|void
ASN1_ITYPE_NDEF_SEQUENCE|int|void
ASN1_ITYPE_PRIMITIVE|int|void
ASN1_ITYPE_SEQUENCE|int|void
ASN1_LONG_UNDEF|int|void
ASN1_MAC_ERR_LIB|int|void
ASN1_MISMATCH_INDEF|int|void
ASN1_MISPLACED_FIELD|int|void
ASN1_MISSING_EOC|int|void
ASN1_MISSING_FIELD|int|void
ASN1_NULL_free|void|a:int
ASN1_NULL_new|int|void
ASN1_OBJECT_FLAG_CRITICAL|int|void
